annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
8.912e-05,1e-09,0.14696,8.59513e-06,0.999991,0.99999,7.58098,1.30964e-05,6.53399e-10,7.6019e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,7.7e-09,0.147009,6.61843e-05,0.999934,0.999988,6.24741,1.31007e-05,5.03131e-09,7.60147e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,6e-08,0.147392,0.000515718,0.999484,0.999985,4.90609,1.31349e-05,3.92047e-08,7.59805e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,4.6e-07,0.150325,0.00395315,0.996047,0.999979,3.5755,1.33962e-05,3.00517e-07,7.57192e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,3.6e-06,0.173341,0.0309349,0.969065,0.999967,2.2314,1.54474e-05,2.35166e-06,7.3668e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,2.8e-05,0.352226,0.240636,0.759364,0.999935,0.891198,3.13888e-05,1.8293e-05,5.77266e-05,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.00022,0.965736,0.959833,0.0401669,0.999709,0.0104818,8.60619e-05,7.29662e-05,3.05347e-06,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.0017,1.0,1.0,1.29613e-07,0.998287,5.75279e-09,8.91154e-05,7.60197e-05,9.85316e-12,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.013,1.0,1.0,0.0,0.0,0.0,8.91154e-05,7.60197e-05,0.0,6578.137,10.0,0.26,1.0,0.01,100.0
8.912e-05,0.1,1.0,1.0,0.0,0.0,0.0,8.91154e-05,7.60197e-05,0.0,6578.137,10.0,0.26,1.0,0.01,100.0
0.0002976,1e-09,0.436543,7.62507e-06,0.999992,0.999989,14.9232,0.000129894,1.27841e-09,0.000167657,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,7.7e-09,0.436572,5.87069e-05,0.999941,0.999986,12.3135,0.000129902,9.8427e-09,0.000167649,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,6e-08,0.436797,0.000457486,0.999543,0.999983,9.68841,0.000129969,7.67013e-08,0.000167582,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,4.6e-07,0.438515,0.00350727,0.996493,0.999976,7.08419,0.000130481,5.88023e-07,0.00016707,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,3.6e-06,0.452007,0.0274518,0.972548,0.999963,4.45344,0.000134495,4.60252e-06,0.000163056,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,2.8e-05,0.55685,0.213522,0.786478,0.999928,1.83073,0.000165691,3.57988e-05,0.00013186,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.00022,0.935846,0.886143,0.113857,0.999698,0.063211,0.000278462,0.000148569,1.90891e-05,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.0017,0.999897,0.999817,0.000183351,0.997686,1.32827e-05,0.00029752,0.000167628,3.07403e-08,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.013,1.0,1.0,0.0,0.0,0.0,0.000297551,0.000167658,0.0,6678.137,10.0,0.26,1.0,0.01,100.0
