annual_collision_p,acpl,f_rem_risk,f_res_risk,f_risk_red,false_alarm_rate,man_rate,rem_risk,res_risk,risk_red,sma,inc,d_ref,scaling_factor,particle_size_min,particle_size_max
0.0002976,4.6e-07,0.438481,0.00344704,0.996553,0.999976,6.97478,0.000130471,5.77925e-07,0.00016708,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,3.6e-06,0.451741,0.0269795,0.97302,0.999963,4.38928,0.000134416,4.52334e-06,0.000163135,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,2.8e-05,0.554783,0.209854,0.790146,0.999927,1.81162,0.000165076,3.51838e-05,0.000132475,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.00022,0.934307,0.883412,0.116588,0.999694,0.0639418,0.000278004,0.000148111,1.9547e-05,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.0017,0.999897,0.999817,0.000183351,0.997686,1.32827e-05,0.00029752,0.000167628,3.07403e-08,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.013,1.0,1.0,0.0,0.0,0.0,0.000297551,0.000167658,0.0,6678.137,10.0,0.26,1.0,0.01,100.0
0.0002976,0.1,1.0,1.0,0.0,0.0,0.0,0.000297551,0.000167658,0.0,6678.137,10.0,0.26,1.0,0.01,100.0
0.0004978,1e-09,0.564822,2.46298e-06,0.999998,0.999968,6.74141,0.00028117,5.33565e-10,0.000216633,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,7.7e-09,0.564829,1.89646e-05,0.999981,0.999962,5.65222,0.000281174,4.10838e-09,0.00021663,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,6e-08,0.564885,0.000147767,0.999852,0.999952,4.55671,0.000281202,3.20112e-08,0.000216602,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,4.6e-07,0.565314,0.0011329,0.998867,0.999938,3.46982,0.000281415,2.45424e-07,0.000216388,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,3.6e-06,0.56868,0.00886736,0.991133,0.999909,2.37188,0.000283091,1.92097e-06,0.000214713,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,2.8e-05,0.594834,0.0689662,0.931034,0.999842,1.27733,0.00029611,1.49404e-05,0.000201693,6778.137,10.0,0.26,1.0,0.01,100.0
0.0004978,0.00022,0.768402,0.467811,0.532189,0.999565,0.264897,0.000382513,0.000101344,0.00011529,6778.137,10.0,0.26,1.0,0.01,100.0
