 36 36 +3.9860043600D+05  N  M  MU        MODEL: GEM-T1
  0  1  6.3781370000D+03  -  -  AE
 2 169 +1.4117833690D-21  S(18,16)*MU
 1 170 +2.0624069550D-22  C(18,17)*MU
 2 170 +2.9570318790D-22  S(18,17)*MU
 1 171 -2.5013401320D-23  C(18,18)*MU
 2 171 -2.8473197120D-23  S(18,18)*MU
 1 172 -2.0937958110D-03  C(19, 1)*MU
 2 172 +9.7092938280D-04  S(19, 1)*MU
 1 173 +7.8366619380D-05  C(19, 2)*MU
 2 173 -9.7291921460D-05  S(19, 2)*MU
 1 174 +6.9118174300D-07  C(19, 3)*MU
 2 174 +6.8181024730D-06  S(19, 3)*MU
 1 175 +6.4342213700D-08  C(19, 4)*MU
 2 175 +1.9215289660D-07  S(19, 4)*MU
 1 176 -3.2272857130D-09  C(19, 5)*MU
 2 176 +2.2932857660D-08  S(19, 5)*MU
 1 177 -4.4115657350D-10  C(19, 6)*MU
 2 177 +2.7627415890D-10  S(19, 6)*MU
 1 178 +1.9736670250D-11  C(19, 7)*MU
 2 178 -6.3764760610D-12  S(19, 7)*MU
 1 179 +3.1678721310D-12  C(19, 8)*MU
 2 179 -2.4143343020D-12  S(19, 8)*MU
 1 180 +2.1333366370D-14  C(19, 9)*MU
 2 180 +1.0516689250D-13  S(19, 9)*MU
 1 181 -2.5213532010D-14  C(19,10)*MU
 2 181 -1.8939402270D-15  S(19,10)*MU
 1 182 +7.1529316550D-16  C(19,11)*MU
 2 182 +5.8484096950D-16  S(19,11)*MU
 1 183 +8.8296625530D-18  C(19,12)*MU
 2 183 +1.1931516170D-17  S(19,12)*MU
 1 184 -1.1213523730D-18  C(19,13)*MU
 2 184 -5.3717454810D-18  S(19,13)*MU
 1 185 -6.7039738540D-20  C(19,14)*MU
 2 185 -1.6547922560D-19  S(19,14)*MU
 1 186 -1.8384355880D-20  C(19,15)*MU
 2 186 -1.2814895730D-20  S(19,15)*MU
 1 187 -1.6884991320D-21  C(19,16)*MU
 2 187 -1.0122265210D-21  S(19,16)*MU
 1 188 +2.2811315690D-22  C(19,17)*MU
 2 188 -8.8839818800D-23  S(19,17)*MU
 1 189 +2.0540327030D-23  C(19,18)*MU
 2 189 -2.9539916510D-24  S(19,18)*MU
 1 190 +9.9498386000D-25  C(19,19)*MU
 2 190 +1.6046287700D-24  S(19,19)*MU
 1 191 +2.5559070160D-03  C(20, 1)*MU
 2 191 -3.7463634000D-03  S(20, 1)*MU
 1 192 +1.7123294180D-04  C(20, 2)*MU
 2 192 +2.7790045830D-05  S(20, 2)*MU
 1 193 +3.5009972770D-06  C(20, 3)*MU
 2 193 +5.8067046950D-06  S(20, 3)*MU
 1 194 -3.7625533230D-08  C(20, 4)*MU
 2 194 +1.7358231920D-08  S(20, 4)*MU
 1 195 -1.0918560850D-08  C(20, 5)*MU
 2 195 +3.1798033920D-10  S(20, 5)*MU
 1 196 +6.7719269030D-10  C(20, 6)*MU
 2 196 +5.1275488590D-11  S(20, 6)*MU
 1 197 -2.1266792350D-11  C(20, 7)*MU
 2 197 +1.3363520460D-11  S(20, 7)*MU
 1 198 -2.8769962250D-13  C(20, 8)*MU
 2 198 -1.8473599520D-13  S(20, 8)*MU
 1 199 +1.7495173880D-13  C(20, 9)*MU
 2 199 +5.5487352980D-14  S(20, 9)*MU
 1 200 -9.4652978790D-15  C(20,10)*MU
 2 200 -3.4165304840D-15  S(20,10)*MU
 1 201 +2.7284020120D-16  C(20,11)*MU
 2 201 -5.7380862050D-16  S(20,11)*MU
 1 202 -5.7338273960D-18  C(20,12)*MU
 2 202 +2.4440774030D-17  S(20,12)*MU
 1 203 +2.3173935910D-18  C(20,13)*MU
 2 203 +4.2534763040D-19  S(20,13)*MU
 1 204 +5.8187065300D-20  C(20,14)*MU
 2 204 -6.6299186040D-20  S(20,14)*MU
 1 205 -8.8415931930D-21  C(20,15)*MU
 2 205 -1.6083115740D-22  S(20,15)*MU
 1 206 -3.0930385610D-22  C(20,16)*MU
 2 206 +4.9051808460D-23  S(20,16)*MU
 1 207 +1.0231945950D-23  C(20,17)*MU
 2 207 -2.1394924410D-23  S(20,17)*MU
 1 208 +2.3608427390D-24  C(20,18)*MU
 2 208 +2.9068858480D-25  S(20,18)*MU
 1 209 -1.7938677420D-25  C(20,19)*MU
 2 209 +2.1377083420D-25  S(20,19)*MU
 1 210 +6.8270935290D-27  C(20,20)*MU
 2 210 -5.3965939870D-26  S(20,20)*MU
 1 211 -2.6474147210D-03  C(21, 1)*MU
 2 211 +7.1792547060D-03  S(21, 1)*MU
 1 212 +7.9172547540D-06  C(21, 2)*MU
 2 212 -2.0901895800D-05  S(21, 2)*MU
 1 213 +7.4876536830D-07  C(21, 3)*MU
 2 213 +8.5208733370D-06  S(21, 3)*MU
 1 214 -4.5134645510D-09  C(21, 4)*MU
 2 214 +1.2371971470D-07  S(21, 4)*MU
 1 215 +1.4952492430D-08  C(21, 5)*MU
 2 215 -1.3379531780D-08  S(21, 5)*MU
 1 216 +1.7072793820D-10  C(21, 6)*MU
 2 216 -3.3824754000D-10  S(21, 6)*MU
 1 217 -2.4169828350D-11  C(21, 7)*MU
